verb,past_simple,past_participle
be,was,been
beat,beat,beaten
become,became,become
begin,began,begun
bite,bit,bitten
blow (soplo),blew,blown
break,broke,broken
bring,brought,brought
burn,burned-burnt,burned-burnt
buy,bought,bought
catch,caught,caught
choose, chose,chosen
come,came,come
cost,cost,cost
cut,cut,cut
deal,dealt,dealt
do,did,done
draw,drew,drawn
dream,dreamed-dreamt,dreamed-dreamt
drink,drank,drunk
drive,drove,driven
eat,ate,eaten
fall,fell,fallen
feel,felt,felt
fight,fought,fought
find,found,found
fly,flew,flown
forget,forgot,forgotten
forgive,forgave,forgiven
freeze,froze,frozen
get,got,got
grow,grew,grown
hang,hung,hung
have,had,had
hear,heard,heard
hide,hid,hidden
hit,hit,hit
hold,help,held
hurt,hurt,hurt
keep,kept,kept
know,knew,known
learn,learned-learnt,learned-learnt
leave,left,left
lend (prestar),lent, lent
let,let, let
lie,lay, lain
lose,lost, lost
make,made, made
mean,meant, meant
meet,met, met
pay,paid,paid
put,put,put
read,read,read
ride,rode,ridden
ring,rang,rung
run,ran,run
say,said,said
see,saw,seen
sell,sold,sold
send,sent,sent
set,set,set
shake(sacudir),shook,shaken
shine(brillo),shone,shone
show,showed,shown
shut(cerrar),shut,shut
sing,sang,sung
sit,sat,sat
sleep,slept,slept
smell,smelled-smelt,smelled-smelt
speak,spoke,spoken
spend,spent,spent
spell,spelt,spelt
spill,spilled-split,spilled-split
stand,stood,stood
steal,stole,stolen
swim,swam,swum
take,took,taken
teach,taught,taught
tear(rasgo),tore,torn
tell,told,told
think,thought,thought
throw(lanzar),threw,thrown
understand,understood,understood
wake,woke,woken
wear(vestir),wore,worn
win,won,won
write,wrote,written
